product_id,current_sku,current_description
67,RFA-HIM-067,藏傳喜馬拉雅藝術相關藏品。現有資料尚未提供商品名稱與更完整的年代、材質資訊，建議以商品照片及後續補充資料確認細節。
69,RFA-AFR-069,「非洲木雕祭典用-預言鳥」為非洲部落藝術相關木雕藏品，現有資料將其題材標示為祭典用「預言鳥」。適合作為部落藝術、祭儀器物或木雕專題收藏與展示；實際用途、材質、尺寸、年代、來源與品況請以商品照片及實物為準。
56,RFA-HIM-056,「825清代中期-後藏地區風格寧瑪傳承曲果倫堡寺黃銅鑄造中古粗壯獨特金剛杵」為藏傳法器藏品，屬藏傳喜馬拉雅藝術相關收藏。器物保留宗教藝術與傳統工藝的造型特色，適合專題收藏或空間陳設；實際年代、材質、尺寸與品況請以商品標示、照片及實物為準。
84,RFA-LIF-084,「Bottega Veneta墨晶項鍊」為項鍊佩飾，品牌名稱依現有商品資料標示為Bottega Veneta。適合作為佩飾或精品收藏；實際材質、尺寸、配件、品況與品牌／真偽相關資訊請以商品實物及可提供之文件為準。
94,RFA-SIL-094,「Bottega Veneta黃玉鹿角銀編墜飾」為佩飾作品，歸於銀製品與精工藝收藏。作品著重金工、編製或裝飾細節，適合佩戴、陳設或工藝收藏；實際材質成分、尺寸與品況請以商品標示、照片及實物為準。
82,RFA-LIF-082,「LALIQUE 萊儷藍水晶限定招財貓」為生活藝術與擺飾，以造型與材質質感作為主要視覺特色。適合居家、茶席或展示空間陳設，也可作為生活藝術收藏；實際尺寸、色澤與品況請以商品照片及實物為準。
13,RFA-FUR-013,"「U,Lobi stool」為凳類家具。現有資料記載尺寸為62 × 13 × 25 cm。適合作為家具造型欣賞、空間陳設或收藏物件；實際材質、結構、承重狀況與品況請以商品照片及實物為準。"
17,RFA-FUR-017,「人獸雕飾酋長非洲椅」為家具藏品，兼具器物造型與空間陳設價值。適合作為居家或收藏空間的特色家具／物件；實際尺寸、材質、承重狀況與品況請以商品標示、照片及實物為準。
12,RFA-FUR-012,「千金出嫁椅枕」為家具藏品，兼具器物造型與空間陳設價值。適合作為居家或收藏空間的特色家具／物件；實際尺寸、材質、承重狀況與品況請以商品標示、照片及實物為準。
92,RFA-ANT-092,「原住民老鈴鐺」為台灣原住民藝術相關鈴鐺類民俗器物。適合作為原住民生活文化與金工器物專題收藏；實際族群、材質、尺寸、年代、來源與品況請以商品照片及實物為準。
35,RFA-STU-035,「古玉獸首吉祥串」為文房收藏小品，屬文房百寶與收藏雜項。其造型與材質特色適合文房陳設、案頭賞玩或專題收藏；實際年代、材質、尺寸與品況請以商品照片及實物為準。
36,RFA-STU-036,「古玉蟬」為文房收藏小品，屬文房百寶與收藏雜項。其造型與材質特色適合文房陳設、案頭賞玩或專題收藏；實際年代、材質、尺寸與品況請以商品照片及實物為準。
19,RFA-ART-019,「台灣傳統藝師-林凌老陶盤磚雕吉語」為雕刻作品，收錄於「台灣民間藝術創作」相關系列。作品適合作為空間陳設、茶席搭配或藝術收藏；實際尺寸、色澤與細節請以商品照片及實物為準。
20,RFA-ART-020,「台灣傳統藝師-林凌老陶盤磚雕星雲法語」為雕刻作品，收錄於「台灣民間藝術創作」相關系列。作品適合作為空間陳設、茶席搭配或藝術收藏；實際尺寸、色澤與細節請以商品照片及實物為準。
88,RFA-ANT-088,「台灣原住民木雕人物野豬造像-豐收」為台灣原住民藝術相關木雕造像，題材依現有資料標示為人物、野豬與「豐收」。適合作為台灣原住民藝術、木雕或民俗造型專題收藏；實際族群、材質、尺寸、年代、來源與品況請以商品照片及實物為準。
90,RFA-ANT-090,「台灣原住民檳榔籃」為台灣原住民藝術相關民俗器物。適合作為原住民生活器物與民俗文化專題收藏；實際族群、材質、尺寸、年代、來源與品況請以商品照片及實物為準。
91,RFA-ANT-091,「台灣原住民石板雕-百步蛇和山豬」為台灣原住民藝術相關石板雕刻，題材依現有資料標示為百步蛇與山豬。適合作為原住民雕刻與民俗藝術專題收藏；實際族群、材質、尺寸、年代、來源與品況請以商品照片及實物為準。
116,RFA-FUR-116,「台灣徐增德手作黑膽石泡茶台」為手作泡茶台，現有資料標示製作者為台灣藝術家徐增德，並歸於「台灣民間藝術創作」系列。適合作為茶席使用、家具工藝欣賞或空間陳設；實際石材、尺寸、重量、承重與品況請以商品照片及實物為準。
109,RFA-STU-109,現有資料可確認本件為台灣書印家陳正隆（小魚）之印作，但作品題名尚未提供。本件歸於文房百寶與印刻藝術收藏；在作品名稱、材質、尺寸與印面資訊補齊前，建議維持未公開狀態。實際細節請以商品照片、實物及後續補充資料為準。
96,RFA-STU-096,「台灣書印家陳正隆(小魚)印作-一切滿足阿彌陀(雙頭木印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
102,RFA-STU-102,「台灣書印家陳正隆(小魚)印作-一孤舟(陶瓷畫印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
97,RFA-STU-097,「台灣書印家陳正隆(小魚)印作-一明燈瓷(陶瓷捏偶印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
98,RFA-STU-098,「台灣書印家陳正隆(小魚)印作-不嫌自己(獅紐壽山石印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
108,RFA-STU-108,「台灣書印家陳正隆(小魚)印作-南無阿彌陀佛(大銅印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
106,RFA-STU-106,「台灣書印家陳正隆(小魚)印作-古澗(陶瓷畫印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
111,RFA-STU-111,「台灣書印家陳正隆(小魚)印作-吟罷少人聽(陶瓷印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
104,RFA-STU-104,「台灣書印家陳正隆(小魚)印作-在目(陶瓷捏偶印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
110,RFA-STU-110,「台灣書印家陳正隆(小魚)印作-坐千峰館(大木畫印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
112,RFA-STU-112,「台灣書印家陳正隆(小魚)印作-月圓(陶瓷印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
99,RFA-STU-099,「台灣書印家陳正隆(小魚)印作-月明星稀(紫檀印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
100,RFA-STU-100,「台灣書印家陳正隆(小魚)印作-本來面目(瓷印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
103,RFA-STU-103,「台灣書印家陳正隆(小魚)印作-林間月(陶瓷畫印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
101,RFA-STU-101,「台灣書印家陳正隆(小魚)印作-獨坐大雄峰(大瓷印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
115,RFA-STU-115,「台灣書印家陳正隆(小魚)印作-獨坐(陶瓷小印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
105,RFA-STU-105,「台灣書印家陳正隆(小魚)印作-百花齋(花梨木印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
107,RFA-STU-107,「台灣書印家陳正隆(小魚)印作-百雜碎(紫檀木印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
114,RFA-STU-114,「台灣書印家陳正隆(小魚)印作-秋山人(陶瓷捏偶印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
113,RFA-STU-113,「台灣書印家陳正隆(小魚)印作-蕭颯(陶瓷印)」為台灣書印家陳正隆（小魚）相關文房與印章藏品，結合篆刻、器物與文人意趣。適合作為文房陳設與藝術收藏；實際材質、尺寸、印面與細節請以商品照片及實物為準。
21,RFA-ART-021,「台灣籍國際柏油大師邱錫勳柏油畫(zero to zwro)」為邱錫勳相關繪畫作品。作品題名「zero to zwro」依現有商品資料保留，建議後續再與作品原始標示核對。適合作為藝術收藏與空間展示；實際尺寸、媒材、簽名及作品細節請以商品照片、實物及相關資料為準。
22,RFA-ART-022,「台灣籍國際藝術大師康木祥木雕創作-李白」為康木祥相關木雕作品，題材依現有資料標示為「李白」。適合作為木雕藝術收藏與空間展示；實際材質、尺寸、簽名、年代與作品細節請以商品照片、實物及相關資料為準。
139,RFA-ART-139,「台灣華陶窯柴燒小器(滄桑)」為華陶窯相關柴燒小器，收錄於「台灣民間藝術創作」系列。適合作為陶藝器物欣賞、生活陳設或收藏；實際用途、尺寸、燒製效果、色澤與品況請以商品照片及實物為準。
138,RFA-ART-138,「台灣華陶窯柴燒花器(樸意)」為華陶窯相關柴燒花器，收錄於「台灣民間藝術創作」系列。適合作為花器使用、陶藝欣賞或空間陳設；實際尺寸、燒製效果、色澤與品況請以商品照片及實物為準。
137,RFA-ART-137,「台灣華陶窯柴燒花器(滿天星)」為華陶窯相關柴燒花器，收錄於「台灣民間藝術創作」系列。適合作為花器使用、陶藝欣賞或空間陳設；實際尺寸、燒製效果、色澤與品況請以商品照片及實物為準。
93,RFA-ART-093,「台灣銅鐵雕藝術家王忠龍-石上鳥」為雕刻作品，收錄於「台灣藝術家」相關系列。作品適合作為空間陳設、茶席搭配或藝術收藏；實際尺寸、色澤與細節請以商品照片及實物為準。
134,RFA-ART-134,「台灣陶藝家小茶器（二）」為台灣陶藝相關小型茶器，收錄於「台灣民間藝術創作」系列。目前資料未提供具名作者與更完整作品名稱，因此以（二）作為兩件同名商品的庫存識別。實際作者、材質、尺寸、釉色與品況請以商品照片及後續補充資料為準。
